Hebrew name,Population,English name
אבו גוש,7699,Abu Ghosh
אבו סנאן,14100,Abu Sinan
אבו קורינאת (יישוב),1904,Abu Qureinat
אבו תלול,2023,Abu Tulul                                         
אבטין,2835,Ibtin
אבטליון,468,Avtalyon
אביאל,822,Avi'el
אביבים,471,Avivim
אביגדור,826,Avigedor
אביחיל,1422,Avihayil
אביטל,494,Avital
אביעזר,875,Avi'ezer
אבירים,263,Abbirim
אבן יהודה,13826,Even Yehuda
אבן מנחם,299,Even Menahem
אבן ספיר,702,Even Sappir
אבן שמואל,1807,Even Shemu'el
אבני איתן,725,Avne Etan
אבני חפץ,1923,Avne Hefez
אבנת,237,Avenat
אבשלום,298,Avshalom
אדורה,462,Adora
אדירים,272,Addirim
אדמית,216,Adamit
אדרת,883,Adderet
אודים,1378,Udim
אודם,155,Odem
אוהד,407,Ohad
אום אל-פחם,56108,Umm al-Fahm
אום אל-קוטוף,1117,Umm Al-Qutuf
אום בטין,4277,Umm Batin
אומן,387,Omen
אומץ,849,Omez
אופקים,30663,Ofaqim
אור הגנוז,574,Or HaGanuz
אור הנר,768,Or HaNer
אור יהודה,36813,Or Yehuda
אור עקיבא,18972,Or Aqiva
אורה,1314,Ora
אורות,496,Orot
אורטל,343,Ortal
אורים,501,Urim
אורנים,178,Oranim
אורנית,8955,Oranit
אושה,533,Usha
אזור,12957,Azor
אחווה,303,Ahawa
אחוזם,548,Ahuzzam
אחוזת ברק,2279,Ahuzzat Baraq
אחיהוד,892,Ahihud
אחיטוב,1093,Ahituv
אחיסמך,1377,Ahisamakh
אחיעזר,1906,Ahi'ezer
איבים,457,Ibbim
אייל,534,Eyal
איילת השחר,1134,Ayyelet HaShahar
אילון,1031,Elon
אילות,314,Elot
אילנייה,490,Ilaniyya
אילת,52300,Elat
אירוס,706,Irus
איתמר,1269,Itamar
איתן,464,Etan
איתנים,81,Etanim
אכסאל,14784,Iksal
אל -עזי,195,Al-Azy
אל -עריאן,191,Al-Aryan
אל -רום,398,El-Rom
אל סייד,5876,Al Sayyid
אלומה,537,Alumma
אלומות,405,Alummot
אלון הגליל,1118,Allon HaGalil    
אלון מורה,1920,Elon More   
אלון שבות,3098,Allon Shevut
אלוני אבא,992,Allone Abba
אלוני הבשן,457,Allone HaBashan
אלוני יצחק,308,Allone Yizhaq
אלונים,515,Allonim
אלי-עד,433,Eli-Ad
אליאב,546,Eliav
אליכין,3415,Elyakhin
אליפז,151,Elifaz
אליפלט,651,Elifelet
אליקים,909,Elyaqim
אלישיב,713,Elyashiv
אלישמע,1200,Elishama
אלמגור,418,Almagor
אלמוג,255,Almog
אלעד,48763,El'ad
אלעזר,2459,El'azar
אלפי מנשה,7952,Alfe Menashe
אלקוש,275,Elqosh
אלקנה,3838,Elqana
אמונים,993,Emunim
אמירים,865,Amirim
אמנון,391,Amnun
אמציה,263,Amazya
אניעם,532,Ani'am
אספר,932,Asfar
אעבלין,13305,I'billin
אפיק,344,Afiq
אפיקים,1510,Afiqim
אפק,712,Afeq
אפרת,10806,Efrat
ארבל,735,Arbel
ארגמן,133,Argaman
ארז,558,Erez
אריאל,20540,Ari'el
ארסוף,166,Arsuf
אשבול,652,Eshbol
אשבל,126,Eshbal
אשדוד,225939,Ashdod
אשדות יעקב (איחוד),1003,Ashdot Ya'aqov(Ihud)
אשדות יעקב (מאוחד),545,Ashdot Ya'aqov(Me'uhad)
אשחר,965,Eshhar
אשכולות,577,Eshkolot
אשל הנשיא,355,Eshel HaNasi
אשלים,568,Ashalim
אשקלון,144072,Ashqelon
אשרת,588,Asherat
אשתאול,1238,Eshta'ol
באקה אל-גרביה,29950,Baqa Al-Gharbiyye                                 
באר אורה,1033,Be'er Ora
באר גנים,1525,Be'er Gannim
באר טוביה,1289,Be'er Toviyya
באר יעקב,27767,Be'er Ya'aqov
באר מילכה,188,Be'er Milka
באר שבע,209687,Be'er Sheva
בארות יצחק,414,Be'erot Yizhaq
בארותיים,1144,Be'erotayim
בארי,1050,Be'eri
בוסתן הגליל,1302,Bustan HaGalil
בועיינה-נוג'ידאת,9812,Bu'eine-Nujeidat
בוקעאתא,6610,Buq'ata
בורגתה,1135,Burgeta
בחן,1084,Bahan
בטחה,777,Bitha
ביצרון,1258,Bizzaron
ביר אל-מכסור,9522,Bir El-Maksur
ביר הדאג',5874,Bir Hadage
בירייה,839,Biriyya
בית אורן,507,Bet Oren
בית אל,5973,Bet El
בית אלעזרי,1567,Bet El'azari
בית אלפא,1075,Bet Alfa
בית אריה-עופרים,5253,Bet Arye-Ofarim
בית ברל,198,Bet Berl
בית ג'ן,12001,Beit Jann
בית גוברין,434,Bet Guvrin
בית גמליאל,1019,Bet Gamli'el
בית דגן,7284,Bet Dagan
בית הגדי,847,Bet HaGaddi
בית הלוי,828,Bet HaLewi
בית הלל,775,Bet Hillel
בית העמק,577,Bet HaEmeq
בית הערבה,350,Bet HaArava
בית השיטה,1263,Bet HaShitta
בית זיד,84,Bet Zeid
בית זית,1708,Bet Zayit
בית זרע,578,Bet Zera
בית חורון,1437,Bet Horon
בית חירות,916,Bet Herut
בית חלקיה,1248,Bet Hilqiyya
בית חנן,542,Bet Hanan
בית חנניה,907,Bet Hananya
בית חשמונאי,2197,Bet Hashmonay
בית יהושע,1046,Bet Yehoshua
בית יוסף,481,Bet Yosef
בית ינאי,372,Bet Yannay
בית יצחק-שער חפר,2131,Bet Yizhaq-Sh. Hefer
בית לחם הגלילית,843,Bet Lehem HaGelilit 
בית מאיר,877,Bet Me'ir
בית נחמיה,879,Bet Nehemya
בית ניר,608,Bet Nir
בית נקופה,744,Bet Neqofa
בית עובד,263,Bet Oved
בית עוזיאל,624,Bet Uzzi'el
בית עזרא,1116,Bet Ezra
בית עריף,1174,Bet Arif
בית צבי,347,Bet Zevi
בית קמה,1405,Bet Qama
בית קשת,713,Bet Qeshet
בית רבן,1019,Bet Rabban 
בית רימון,876,Bet Rimmon
בית שאן,18463,Bet She'an 
בית שמש,124957,Bet Shemesh
בית שערים,766,Bet She'arim 
בית שקמה,862,Bet Shiqma
ביתן אהרן,152,Bitan Aharon
ביתר עילית,59269,Betar Illit
בלפוריה,529,Balfurya
בן זכאי,1132,Ben Zakkay
בן עמי,765,Ben Ammi
בן שמן (כפר נוער),620,Ben Shemen(K.No'ar)
בן שמן (מושב),870,Ben Shemen (Moshav)
בני ברק,204640,Bene Beraq
בני דקלים,1211,Bne Dkalim
בני דרום,903,Bene Darom
בני דרור,1171,Bene Deror
בני יהודה,1085,Bene Yehuda
בני נצרים,770,Bne Netsarim
בני עטרות,965,Bene Atarot
"בני עי""ש",6978,Bene Ayish
בני ציון,1371,Bene Ziyyon
בני ראם,1416,Bene Re'em
בניה,798,Benaya
בנימינה-גבעת עדה*,15846,Binyamina-Giv'at Ada
"בסמ""ה",10010,Basma
